1 2 3
1 3 1670
1 5 266
1 7 7326
1 11 10795
1 12 5
1 13 6064
1 14 5
1 17 10320
1 18 1794
1 19 539
1 20 2
1 21 2
1 27 27
1 29 15493
1 30 1
1 31 3
1 33 1069
1 34 5164
1 35 1324
1 36 6
1 37 79
1 39 54
1 41 4
1 43 33
1 44 1206
1 45 4742
1 46 4116
1 47 555
1 48 39
1 49 5053
1 50 2246
1 51 4006
1 55 123
1 57 68017
1 58 1657
1 59 1
1 60 15
1 61 22890
1 63 381
1 64 138
1 65 111
1 67 713
1 68 947
1 69 3723
1 71 3303
1 73 1482
1 74 26
1 75 18
1 77 6578
1 78 1469
1 79 2328
1 80 1
1 81 2519
1 82 15
1 83 344
1 85 32
1 87 294
1 89 1341
1 91 51
1 93 6
1 97 2
1 99 58
1 103 52
2 3 2
2 4 2
2 5 1
2 7 92
2 8 139
2 9 39
2 11 6
2 12 284
2 13 29
2 14 252
2 15 5
2 16 13
2 17 77
2 18 62
2 29 5
2 30 5
2 38 2
2 39 1
2 42 2
2 46 3
2 47 56
2 50 8
2 51 2
2 52 2
2 55 40
2 57 130
2 58 481
2 60 9
2 61 61
2 62 4
2 63 67
2 64 253
2 65 34
2 66 2
2 68 6
2 70 1
2 72 1
2 73 4
2 74 10
2 76 1
2 77 1
2 78 6
2 79 29
2 80 2
2 81 134
2 82 108
2 83 5
2 84 143
2 85 5
2 86 174
2 88 71
2 89 2
2 90 195
2 91 60
2 93 13
2 99 7
3 4 40
3 5 815
3 7 5369
3 9 100
3 11 266
3 13 442
3 14 9
3 15 30
3 16 30
3 17 155
3 18 50
3 19 449
3 23 210
3 24 49
3 25 90
3 26 21
3 27 18
3 29 624
3 30 12
3 31 49
3 32 49
3 33 2
3 35 2
3 37 5
3 39 27
3 42 11
3 45 45
3 46 329
3 47 765
3 49 4
3 50 98
3 51 645
3 53 87
3 55 1069
3 57 5440
3 58 62
3 59 4
3 60 41
3 61 605
3 63 464
3 64 3
3 65 433
3 67 20
3 68 266
3 71 949
3 73 1866
3 74 31
3 75 76
3 79 66
3 80 3
3 81 99
3 82 128
3 83 111
3 84 329
3 85 5
3 86 316
3 87 3
3 88 2
3 90 386
3 91 1450
3 93 334
3 99 143
3 101 16
3 102 1
3 104 95
4 5 5
4 6 55
4 8 430
4 10 76
4 12 2
4 14 3
4 16 7
4 17 1
4 20 47
4 23 36
4 24 356
4 25 24
4 26 3
4 27 10
4 30 2
4 32 50
4 34 144
4 46 16
4 47 14
4 50 3
4 52 2
4 53 13
4 54 1
4 55 1
4 57 1
4 60 41
4 62 1
4 64 6
4 66 5
4 68 46
4 70 4
4 72 8
4 74 6
4 76 2
4 79 1
4 81 3
4 82 19
4 84 10
4 85 1
4 86 22
4 88 10
4 90 18
4 91 1
4 99 1
5 7 745
5 9 1030
5 11 167
5 13 3482
5 15 2775
5 17 106
5 19 6
5 23 61
5 24 5
5 25 331
5 27 5409
5 29 3449
5 30 1
5 31 6
5 33 183
5 35 22
5 37 4
5 39 10
5 46 16
5 47 559
5 51 1203
5 53 46
5 55 1656
5 57 26
5 59 90
5 60 31
5 61 241
5 63 143
5 64 7
5 65 381
5 67 200
5 68 15
5 69 4
5 71 6
5 73 4035
5 74 2
5 75 7
5 78 1
5 79 192
5 81 1330
5 82 11
5 83 1182
5 84 28
5 85 25
5 86 25
5 87 2
5 88 3
5 89 372
5 90 27
5 91 1992
5 93 303
5 97 24
5 99 238
5 101 12
5 103 1
5 104 1
6 32 26
6 34 16
6 8 29
6 16 85
6 22 51
6 24 7
6 26 5
6 27 7
6 28 733
6 30 74
7 8 18
7 9 1801
7 11 858
7 12 80
7 13 6367
7 14 280
7 15 723
7 16 776
7 17 286
7 18 141
7 19 217
7 21 561
7 23 22
7 25 18
7 27 395
7 29 2688
7 30 93
7 31 1128
7 32 36
7 35 3
7 37 9
7 38 15
7 39 31
7 42 5
7 47 1311
7 51 601
7 52 1
7 55 1677
7 56 74
7 57 9136
7 58 139
7 59 10
7 60 4
7 61 1299
7 63 823
7 64 29
7 65 876
7 67 18
7 71 4012
7 73 5796
7 74 11
7 75 41
7 78 2
7 79 93
7 80 30
7 81 135
7 82 581
7 83 84
7 84 624
7 85 6
7 86 730
7 88 50
7 90 577
7 91 2351
7 93 491
7 94 28
7 99 189
7 102 2
7 104 362
8 10 85
8 12 90
8 13 4
8 14 183
8 16 38
8 17 1
8 18 8
8 20 61
8 24 273
8 25 1
8 27 8
8 29 2
8 30 45
8 32 11
8 34 153
8 46 19
8 47 14
8 50 10
8 52 9
8 53 12
8 55 1
8 57 1
8 58 28
8 60 69
8 62 1
8 64 11
8 66 5
8 68 66
8 70 4
8 72 59
8 73 2
8 74 74
8 76 9
8 79 1
8 81 4
8 82 30
8 84 6
8 85 1
8 86 38
8 88 4
8 90 33
8 91 1
9 12 3
9 13 838
9 14 57
9 15 2458
9 16 606
9 17 114
9 18 16
9 27 66
9 29 1335
9 30 45
9 38 10
9 39 3
9 42 2
9 47 1248
9 51 742
9 55 1716
9 56 69
9 57 38
9 58 11
9 60 18
9 61 1024
9 63 472
9 64 3
9 65 876
9 73 87
9 74 4
9 79 234
9 80 10
9 81 1505
9 82 359
9 83 372
9 84 319
9 85 31
9 86 453
9 88 56
9 90 242
9 91 2308
9 93 355
9 99 133
10 14 17
10 16 62
10 18 12
10 20 4
10 24 27
10 30 41
10 32 1
10 34 73
10 46 12
10 50 6
10 52 16
10 58 1
10 60 8
10 64 1
10 66 4
10 68 16
10 70 1
10 72 1
10 74 1
10 80 14
10 81 4
10 82 37
10 84 2
10 86 15
10 90 8
11 12 14
11 13 18658
11 14 48
11 16 17
11 17 17680
11 18 1996
11 21 5
11 22 126
11 29 3426
11 30 12
11 31 92
11 37 6
11 39 8
11 47 136
11 51 110
11 55 159
11 57 9496
11 58 1400
11 60 3
11 61 10
11 63 322
11 64 146
11 65 37
11 67 59
11 68 11
11 71 720
11 72 41
11 73 3106
11 74 358
11 75 2840
11 77 8
11 78 9
11 79 4364
11 80 5
11 81 6307
11 82 74
11 84 1
11 85 2
11 86 1
11 87 5
11 90 1
11 91 253
11 93 38
11 99 84
11 103 60
12 13 62
12 14 455
12 15 11
12 16 17
12 17 4
12 18 213
12 29 2
12 30 7
12 50 5
12 51 2
12 52 4
12 57 1
12 58 288
12 61 3
12 63 6
12 64 24
12 65 5
12 73 1
12 74 10
12 76 3
12 79 4
12 81 7
12 82 1
12 83 8
12 84 2
12 85 12
12 86 2
12 89 2
12 90 1
13 14 208
13 15 4669
13 16 155
13 17 11270
13 18 1118
13 21 3142
13 22 126
13 25 411
13 27 6956
13 29 11679
13 30 31
13 31 4223
13 35 1
13 37 9
13 39 28
13 47 309
13 51 525
13 55 848
13 56 10
13 57 3591
13 58 494
13 60 13
13 61 74
13 63 39
13 64 27
13 65 183
13 67 32
13 68 5
13 71 11161
13 72 41
13 73 21383
13 74 357
13 75 3896
13 77 6
13 78 4
13 79 3904
13 80 6
13 81 15743
13 82 250
13 83 4363
13 84 1342
13 85 4
13 86 40
13 87 4
13 88 6
13 90 27
13 91 1063
13 93 193
13 99 85
13 103 29
14 15 74
14 16 181
14 17 29
14 18 255
14 29 39
14 30 108
14 40 1
14 47 7
14 50 8
14 51 8
14 52 9
14 55 31
14 56 1
14 57 4
14 58 284
14 61 35
14 63 39
14 64 43
14 65 19
14 66 1
14 72 12
14 73 8
14 74 39
14 75 3
14 76 5
