1 2 3
1 3 11
1 68 10
2 3 4
2 68 4
3 4 30
3 5 13
3 6 11
3 8 12
3 68 8
3 69 5
4 68 1
4 69 2
4 10 3
4 16 2
4 5 19
5 6 6
5 9 27
5 10 18
5 11 26
5 12 2
5 16 6
5 21 1
5 22 12
6 8 14
6 9 5
6 11 1
6 12 2
6 14 3
6 22 1
8 69 2
8 70 7
8 71 2
8 14 15
8 17 4
9 10 7
9 11 28
9 12 15
9 15 12
9 18 5
10 11 10
11 12 2
11 15 7
11 213 2
12 15 6
12 18 5
12 19 4
12 27 1
14 71 4
14 17 3
14 19 4
14 23 16
14 72 1
14 26 9
14 27 5
14 28 1
14 159 3
15 18 18
15 213 30
15 24 9
17 70 7
17 71 13
17 23 11
17 158 2
17 159 3
18 19 4
18 213 7
18 24 7
18 25 2
18 21 1
19 21 4
19 23 25
19 24 67
19 25 9
19 26 2
19 27 35
19 29 6
21 22 5
23 160 2
23 71 4
23 26 13
23 27 44
23 159 13
24 197 1
24 25 18
24 27 7
24 29 22
24 30 2
25 192 1
25 26 2
25 29 5
25 30 4
26 192 1
26 27 11
27 192 1
27 197 3
27 71 1
27 72 7
27 30 7
27 142 1
27 28 18
27 29 12
27 158 1
27 159 1
28 72 11
28 159 1
29 197 2
29 142 5
29 143 1
29 80 1
29 30 14
29 31 2
30 192 4
30 197 5
30 198 2
30 142 5
30 143 2
31 74 3
31 143 1
31 80 3
31 125 5
31 159 4
32 96 1
32 33 7
32 99 5
32 38 1
32 102 19
32 39 2
32 148 7
32 149 7
32 150 14
32 151 5
32 152 18
32 153 26
32 154 13
32 155 6
33 131 2
33 36 5
33 102 7
33 38 17
33 39 1
33 40 3
33 41 4
33 152 8
33 153 6
33 154 2
33 155 23
33 156 3
36 131 7
36 37 4
36 70 1
36 40 63
36 41 13
36 157 13
36 156 10
36 155 52
36 152 13
36 91 54
36 92 2
36 93 3
36 94 7
36 95 22
37 40 3
37 152 2
37 131 2
37 95 2
38 155 6
38 102 4
38 39 2
38 40 2
38 41 6
38 152 1
38 153 1
38 91 1
38 156 2
39 102 1
39 103 3
39 41 3
39 42 1
39 139 3
39 140 4
39 173 4
39 138 4
40 131 3
40 41 13
40 43 2
40 155 27
40 152 11
40 91 43
40 156 5
40 157 4
40 95 11
41 42 3
41 43 9
41 44 3
41 91 25
41 93 8
41 94 1
42 139 7
42 103 4
42 138 5
42 43 12
42 140 5
42 173 2
42 44 7
42 180 13
42 89 10
42 183 2
42 90 2
43 93 4
43 44 13
43 45 9
43 46 20
43 47 11
43 140 1
43 180 7
43 183 8
43 89 6
