1 2 3
1 3 25862
1 4 8863
1 5 5935
1 6 600
1 8 1
1 137 3
1 12 15
1 141 406
1 15 4
1 144 11
1 145 11
1 148 2
1 21 118
1 150 7
1 152 1596
1 153 3
1 30 10682
1 159 10
1 32 335
1 50 2
1 51 11
1 13 311
1 16 2
1 100 3
1 103 7
1 104 4
1 115 6
1 116 5
1 120 212
1 20 627
2 3 800
2 4 2710
2 5 653
2 16 18
2 12 3614
2 141 1558
2 14 4167
2 47 1
2 144 24
2 49 8
2 18 1
2 116 6
2 46 18
2 150 6
2 151 4
2 28 1
2 29 5
2 30 140
3 4 19414
3 5 6574
3 6 693
3 7 1
3 8 1
3 12 51
3 13 1020
3 14 1781
3 15 13
3 16 16
3 17 19
3 19 3
3 148 2
3 21 636
3 150 17
3 23 18
3 152 3784
3 153 363
3 29 206
3 158 3
3 159 82
3 160 1
3 162 1917
3 145 16
3 172 1
3 46 7
3 50 2
3 30 6895
3 55 1
3 32 13
3 141 867
3 142 1
3 144 53
3 99 4
3 100 22
3 103 27
3 116 12
3 118 1027
3 119 124
3 120 2256
3 20 28
3 125 1359
3 126 611
3 149 1
4 5 6314
4 6 665
4 12 3151
4 141 4
4 142 11
4 15 13
4 16 10
4 145 1
4 19 9
4 20 6
4 149 7
4 150 16
4 151 3
4 152 1599
4 153 432
4 29 238
4 30 2953
4 159 544
4 162 117
4 46 4
4 49 1
4 158 9
4 14 2196
4 144 23
4 17 32
4 116 1
4 148 1
4 126 5
4 21 600
5 6 1934
5 12 1107
5 141 167
5 14 690
5 17 585
5 18 171
5 19 2
5 20 200
5 21 2345
5 152 483
5 153 2884
5 155 2
5 30 7096
5 159 1884
5 32 577
5 162 893
5 158 2
5 142 1
5 126 306
5 149 1
6 32 42
6 162 464
6 17 520
6 21 900
6 120 35
6 153 1161
6 152 44
6 30 199
6 159 101
7 134 1
7 8 1555
7 9 13
7 10 317
7 11 12
7 146 1827
7 147 6
7 23 5
7 24 1
7 172 2
7 50 806
7 51 200
7 52 1513
7 53 18
7 54 2
7 55 733
7 77 12
7 98 18
7 99 1745
7 100 3
7 104 1
7 115 231
7 118 11
7 119 13
7 120 1
7 123 4
7 125 11
8 133 4
8 9 5
8 10 1
8 11 69
8 143 27
8 146 770
8 147 13
8 152 2
8 47 6
8 50 1133
8 51 1270
8 52 157
8 53 9
8 55 290
8 77 9
8 99 1265
8 100 5
8 103 6
8 104 5
8 115 89
8 116 36
8 118 2
8 119 6
8 120 6
8 125 6
9 96 14
9 10 1
9 11 23
9 53 3
9 95 3
10 96 1
10 66 7
10 99 152
10 11 16
10 146 44
10 50 43
10 55 3
11 96 4
11 66 16
11 50 4
11 147 1
11 77 1
11 146 2
11 51 16
11 55 3
12 16 315
12 141 6
12 14 1452
12 15 54
12 144 51
12 145 24
12 18 217
12 148 2
12 150 11
12 151 352
13 162 726
13 120 1015
13 118 465
13 119 38
13 152 1426
13 153 212
13 30 428
13 159 514
14 141 1675
14 16 9
14 20 2
14 151 54
14 28 313
14 29 1024
14 30 507
14 160 459
14 41 12
14 44 3
14 45 326
14 46 18
14 47 4
14 48 4
14 49 8
14 50 7
14 51 1
14 158 6
14 116 20
15 144 26
15 142 14
15 16 19
15 145 12
15 148 1
15 150 13
16 49 260
16 45 25
16 141 158
16 144 329
16 145 2
16 116 1
16 142 2
16 150 14
16 151 252
16 46 24
16 47 2
17 162 4460
17 132 780
17 135 3845
17 136 6
17 137 2886
17 126 6902
17 176 15
17 20 18
17 21 1908
17 118 3477
17 119 1485
17 153 42
17 154 4014
17 125 2040
17 134 822
17 159 83
18 141 1
19 142 4
19 20 3
19 158 8
20 158 4
20 137 514
20 141 277
20 142 1
20 152 2
20 120 73
20 155 1
20 21 481
20 30 1846
20 159 3
21 162 3
21 137 631
21 141 283
21 30 450
21 153 90
21 152 2
21 120 206
21 158 2
21 159 4
22 136 11
22 30 95
22 139 115
22 140 1328
22 142 52
22 149 837
22 155 50
22 156 186
22 158 1773
23 129 2
23 132 471
23 152 5
23 166 3
23 167 101
23 172 393
23 173 544
23 174 5
23 99 25
23 100 384
23 101 604
23 103 230
23 104 521
23 105 2
23 118 18
23 119 3
23 120 13
23 123 183
23 124 334
23 125 7
24 51 5
24 115 3
24 132 737
24 100 113
24 104 314
24 103 1
24 138 211
24 139 1
24 174 353
24 46 16
24 143 696
24 27 1570
24 136 274
24 146 50
24 147 3742
24 148 1405
24 149 39
24 150 1
24 116 5
24 123 32
25 69 2
26 160 10
26 161 2
26 35 5
26 36 9
26 37 1
26 44 3
26 141 1
26 49 4
26 28 5
26 29 8
26 30 1
27 129 160
27 132 737
27 51 3
27 136 1746
27 138 269
27 139 465
27 140 156
27 174 507
27 104 366
27 146 10
27 147 1358
27 148 208
27 149 872
27 116 30
28 41 1
28 44 6
28 141 7
28 45 14
28 151 1
28 29 5
29 32 244
29 161 1
29 160 1532
29 34 89
29 141 1
29 30 1317
30 152 998
30 153 458
30 158 64
30 159 1286
30 160 3
30 162 685
30 50 2
30 51 16
30 32 872
30 34 1
30 141 1478
30 115 10
30 116 7
30 118 33
30 120 2398
32 160 37
32 34 3
33 160 2
33 161 4
33 34 3
34 161 1
34 160 100
